crop_type,rainfall,temperature,fertilizer,nitrogen,phosphorus,potassium,total_npk,n_proportion,p_proportion,temperature_squared,rainfall_fertilizer_interaction,yield
Rice,452.0,38.0,89.0,67.0,28.0,14.0,109.0,0.6146788990825688,0.25688073394495414,1444.0,40228.0,7.2
Wheat,1191.0,22.0,81.0,67.0,15.0,23.0,105.0,0.638095238095238,0.14285714285714285,484.0,96471.0,8.5
Wheat,1321.0,27.0,83.0,84.0,28.0,14.0,126.0,0.6666666666666666,0.2222222222222222,729.0,109643.0,8.7
Soybean,616.0,21.0,77.0,68.0,22.0,15.0,105.0,0.6476190476190476,0.20952380952380953,441.0,47432.0,5.7
Soybean,1163.0,27.0,80.0,61.0,25.0,15.0,101.0,0.6039603960396039,0.24752475247524752,729.0,93040.0,8.7
Rice,587.0,32.0,57.0,74.0,18.0,23.0,115.0,0.6434782608695652,0.1565217391304348,1024.0,33459.0,9.6
Sorghum,779.0,32.0,88.0,77.0,26.0,15.0,118.0,0.652542372881356,0.22033898305084745,1024.0,68552.0,12.2
Rice,892.0,20.0,75.0,62.0,15.0,23.0,100.0,0.62,0.15,400.0,66900.0,11.6
Barley,440.0,25.0,83.0,76.0,24.0,11.0,111.0,0.6846846846846847,0.21621621621621623,625.0,36520.0,12.1
Sorghum,556.0,38.0,52.0,63.0,21.0,23.0,107.0,0.5887850467289719,0.19626168224299065,1444.0,28912.0,5.1
Corn,414.0,35.0,99.0,89.0,19.0,19.0,127.0,0.7007874015748031,0.14960629921259844,1225.0,40986.0,7.2
Rice,1212.0,27.0,61.0,63.0,19.0,23.0,105.0,0.6,0.18095238095238095,729.0,73932.0,11.6
Soybean,464.0,20.0,50.0,73.0,15.0,22.0,110.0,0.6636363636363637,0.13636363636363635,400.0,23200.0,9.8
Sorghum,1256.0,35.0,93.0,68.0,28.0,24.0,120.0,0.5666666666666667,0.23333333333333334,1225.0,116808.0,5.1
Rice,1238.0,28.0,54.0,68.0,24.0,23.0,115.0,0.591304347826087,0.20869565217391303,784.0,66852.0,13.0
Wheat,920.0,32.0,79.0,84.0,25.0,12.0,121.0,0.6942148760330579,0.2066115702479339,1024.0,72680.0,12.7
Corn,743.0,30.0,79.0,85.0,20.0,23.0,128.0,0.6640625,0.15625,900.0,58697.0,10.5
Barley,528.0,32.0,66.0,82.0,28.0,15.0,125.0,0.656,0.224,1024.0,34848.0,5.7
Wheat,1047.0,29.0,97.0,89.0,23.0,22.0,134.0,0.664179104477612,0.17164179104477612,841.0,101559.0,12.7
Wheat,871.0,23.0,96.0,77.0,23.0,17.0,117.0,0.6581196581196581,0.19658119658119658,529.0,83616.0,10.8
Corn,462.0,25.0,72.0,69.0,22.0,21.0,112.0,0.6160714285714286,0.19642857142857142,625.0,33264.0,12.8
Barley,538.0,26.0,64.0,80.0,19.0,22.0,121.0,0.6611570247933884,0.15702479338842976,676.0,34432.0,12.5
Soybean,898.0,24.0,86.0,63.0,15.0,20.0,98.0,0.6428571428571429,0.15306122448979592,576.0,77228.0,13.0
Sorghum,992.0,30.0,70.0,71.0,23.0,21.0,115.0,0.6173913043478261,0.2,900.0,69440.0,10.2
Barley,791.0,32.0,63.0,86.0,15.0,10.0,111.0,0.7747747747747747,0.13513513513513514,1024.0,49833.0,6.4
Rice,1074.0,38.0,51.0,67.0,22.0,10.0,99.0,0.6767676767676768,0.2222222222222222,1444.0,54774.0,11.7
Wheat,818.0,29.0,60.0,61.0,19.0,20.0,100.0,0.61,0.19,841.0,49080.0,11.2
Rice,688.0,29.0,88.0,81.0,17.0,22.0,120.0,0.675,0.14166666666666666,841.0,60544.0,12.4
Soybean,778.0,30.0,87.0,72.0,25.0,11.0,108.0,0.6666666666666666,0.23148148148148148,900.0,67686.0,6.7
Rice,1172.0,26.0,83.0,80.0,21.0,20.0,121.0,0.6611570247933884,0.17355371900826447,676.0,97276.0,6.9
Barley,889.0,37.0,87.0,75.0,21.0,24.0,120.0,0.625,0.175,1369.0,77343.0,13.9
Rice,630.0,23.0,99.0,87.0,23.0,21.0,131.0,0.6641221374045801,0.17557251908396945,529.0,62370.0,12.5
Soybean,440.0,21.0,83.0,61.0,21.0,21.0,103.0,0.5922330097087378,0.20388349514563106,441.0,36520.0,14.1
Soybean,427.0,33.0,67.0,70.0,27.0,15.0,112.0,0.625,0.24107142857142858,1089.0,28609.0,12.6
Soybean,534.0,32.0,79.0,69.0,25.0,18.0,112.0,0.6160714285714286,0.22321428571428573,1024.0,42186.0,11.0
Barley,600.0,31.0,64.0,74.0,28.0,13.0,115.0,0.6434782608695652,0.24347826086956523,961.0,38400.0,11.5
Soybean,1239.0,26.0,76.0,76.0,17.0,12.0,105.0,0.7238095238095238,0.1619047619047619,676.0,94164.0,13.9
Wheat,1179.0,21.0,83.0,67.0,25.0,21.0,113.0,0.5929203539823009,0.22123893805309736,441.0,97857.0,10.8
Soybean,1329.0,32.0,87.0,77.0,27.0,17.0,121.0,0.6363636363636364,0.2231404958677686,1024.0,115623.0,11.3
Rice,432.0,33.0,82.0,82.0,29.0,20.0,131.0,0.6259541984732825,0.22137404580152673,1089.0,35424.0,6.6
Sorghum,447.0,36.0,73.0,68.0,28.0,19.0,115.0,0.591304347826087,0.24347826086956523,1296.0,32631.0,9.7
Rice,902.0,28.0,64.0,84.0,27.0,23.0,134.0,0.6268656716417911,0.20149253731343283,784.0,57728.0,12.2
Sorghum,806.0,36.0,79.0,67.0,15.0,18.0,100.0,0.67,0.15,1296.0,63674.0,7.7
Rice,973.0,27.0,91.0,86.0,22.0,21.0,129.0,0.6666666666666666,0.17054263565891473,729.0,88543.0,7.0
Barley,1127.0,21.0,66.0,73.0,26.0,20.0,119.0,0.6134453781512605,0.2184873949579832,441.0,74382.0,8.1
Rice,1204.0,32.0,54.0,87.0,17.0,14.0,118.0,0.7372881355932204,0.1440677966101695,1024.0,65016.0,7.4
Barley,498.0,22.0,78.0,85.0,26.0,18.0,129.0,0.6589147286821705,0.20155038759689922,484.0,38844.0,7.1
Barley,1083.0,35.0,53.0,84.0,22.0,11.0,117.0,0.717948717948718,0.18803418803418803,1225.0,57399.0,9.2
Soybean,1271.0,25.0,59.0,77.0,22.0,12.0,111.0,0.6936936936936937,0.1981981981981982,625.0,74989.0,14.1
Wheat,1125.0,38.0,66.0,81.0,27.0,16.0,124.0,0.6532258064516129,0.21774193548387097,1444.0,74250.0,10.1
Sorghum,1386.0,26.0,59.0,79.0,19.0,16.0,114.0,0.6929824561403509,0.16666666666666666,676.0,81774.0,6.9
Soybean,946.0,29.0,66.0,89.0,27.0,15.0,131.0,0.6793893129770993,0.20610687022900764,841.0,62436.0,5.8
Soybean,1360.0,28.0,69.0,79.0,26.0,15.0,120.0,0.6583333333333333,0.21666666666666667,784.0,93840.0,12.0
Barley,1138.0,21.0,73.0,80.0,27.0,11.0,118.0,0.6779661016949152,0.2288135593220339,441.0,83074.0,8.8
Barley,1012.0,34.0,54.0,71.0,15.0,19.0,105.0,0.6761904761904762,0.14285714285714285,1156.0,54648.0,13.2
Sorghum,1342.0,24.0,83.0,78.0,27.0,15.0,120.0,0.65,0.225,576.0,111386.0,11.6
Rice,861.0,23.0,55.0,73.0,24.0,13.0,110.0,0.6636363636363637,0.21818181818181817,529.0,47355.0,13.0
Rice,1042.0,39.0,51.0,76.0,21.0,21.0,118.0,0.6440677966101694,0.17796610169491525,1521.0,53142.0,7.7
Soybean,1168.0,23.0,62.0,83.0,26.0,12.0,121.0,0.6859504132231405,0.21487603305785125,529.0,72416.0,11.9
Corn,404.0,37.0,92.0,80.0,24.0,22.0,126.0,0.6349206349206349,0.19047619047619047,1369.0,37168.0,7.6
Corn,617.0,23.0,92.0,62.0,19.0,20.0,101.0,0.6138613861386139,0.18811881188118812,529.0,56764.0,14.4
Rice,902.0,36.0,97.0,85.0,22.0,22.0,129.0,0.6589147286821705,0.17054263565891473,1296.0,87494.0,11.4
Corn,1166.0,31.0,60.0,89.0,23.0,11.0,123.0,0.7235772357723578,0.18699186991869918,961.0,69960.0,8.2
Rice,797.0,36.0,96.0,82.0,25.0,10.0,117.0,0.7008547008547008,0.21367521367521367,1296.0,76512.0,7.7
Barley,1270.0,29.0,72.0,66.0,28.0,20.0,114.0,0.5789473684210527,0.24561403508771928,841.0,91440.0,6.9
Soybean,1194.0,20.0,65.0,76.0,21.0,20.0,117.0,0.6495726495726496,0.1794871794871795,400.0,77610.0,11.9
Wheat,792.0,37.0,80.0,71.0,28.0,14.0,113.0,0.6283185840707964,0.24778761061946902,1369.0,63360.0,7.2
Soybean,606.0,37.0,60.0,68.0,27.0,11.0,106.0,0.6415094339622641,0.25471698113207547,1369.0,36360.0,11.0
Rice,414.0,33.0,65.0,74.0,29.0,11.0,114.0,0.6491228070175439,0.2543859649122807,1089.0,26910.0,7.6
Rice,1257.0,34.0,57.0,77.0,21.0,16.0,114.0,0.6754385964912281,0.18421052631578946,1156.0,71649.0,11.6
Soybean,953.0,31.0,53.0,80.0,15.0,17.0,112.0,0.7142857142857143,0.13392857142857142,961.0,50509.0,13.1
Sorghum,1291.0,23.0,89.0,72.0,29.0,22.0,123.0,0.5853658536585366,0.23577235772357724,529.0,114899.0,12.8
Rice,860.0,22.0,53.0,89.0,18.0,19.0,126.0,0.7063492063492064,0.14285714285714285,484.0,45580.0,12.6
Corn,1090.0,39.0,74.0,80.0,16.0,17.0,113.0,0.7079646017699115,0.1415929203539823,1521.0,80660.0,6.9
Corn,974.0,31.0,52.0,89.0,16.0,23.0,128.0,0.6953125,0.125,961.0,50648.0,5.9
Rice,1263.0,26.0,81.0,67.0,16.0,13.0,96.0,0.6979166666666666,0.16666666666666666,676.0,102303.0,12.0
Rice,1142.0,30.0,52.0,73.0,18.0,24.0,115.0,0.6347826086956522,0.1565217391304348,900.0,59384.0,8.7
Sorghum,640.0,20.0,76.0,67.0,28.0,23.0,118.0,0.5677966101694916,0.23728813559322035,400.0,48640.0,9.3
Corn,963.0,25.0,78.0,73.0,15.0,10.0,98.0,0.7448979591836735,0.15306122448979592,625.0,75114.0,5.3
Rice,495.0,34.0,81.0,66.0,29.0,20.0,115.0,0.5739130434782609,0.25217391304347825,1156.0,40095.0,7.6
Rice,1299.0,34.0,99.0,82.0,18.0,16.0,116.0,0.7068965517241379,0.15517241379310345,1156.0,128601.0,5.3
Sorghum,1133.0,38.0,68.0,71.0,16.0,10.0,97.0,0.7319587628865979,0.16494845360824742,1444.0,77044.0,13.8
Sorghum,884.0,30.0,70.0,70.0,19.0,20.0,109.0,0.6422018348623854,0.1743119266055046,900.0,61880.0,7.4
Soybean,806.0,21.0,54.0,81.0,17.0,13.0,111.0,0.7297297297297297,0.15315315315315314,441.0,43524.0,10.6
Sorghum,630.0,33.0,67.0,81.0,29.0,17.0,127.0,0.6377952755905512,0.2283464566929134,1089.0,42210.0,5.4
Wheat,1148.0,21.0,77.0,70.0,26.0,11.0,107.0,0.6542056074766355,0.24299065420560748,441.0,88396.0,11.7
Corn,1054.0,23.0,91.0,84.0,22.0,15.0,121.0,0.6942148760330579,0.18181818181818182,529.0,95914.0,8.2
Soybean,570.0,36.0,71.0,81.0,18.0,22.0,121.0,0.6694214876033058,0.1487603305785124,1296.0,40470.0,14.0
Wheat,940.0,22.0,70.0,87.0,15.0,15.0,117.0,0.7435897435897436,0.1282051282051282,484.0,65800.0,13.9
Rice,435.0,32.0,55.0,88.0,15.0,21.0,124.0,0.7096774193548387,0.12096774193548387,1024.0,23925.0,8.3
Rice,924.0,28.0,50.0,72.0,26.0,18.0,116.0,0.6206896551724138,0.22413793103448276,784.0,46200.0,14.0
Soybean,559.0,26.0,54.0,77.0,24.0,14.0,115.0,0.6695652173913044,0.20869565217391303,676.0,30186.0,15.0
Sorghum,1238.0,34.0,90.0,61.0,17.0,19.0,97.0,0.6288659793814433,0.17525773195876287,1156.0,111420.0,13.3
Rice,1098.0,30.0,61.0,88.0,29.0,13.0,130.0,0.676923076923077,0.2230769230769231,900.0,66978.0,13.4
Barley,642.0,39.0,75.0,80.0,23.0,14.0,117.0,0.6837606837606838,0.19658119658119658,1521.0,48150.0,7.5
Soybean,485.0,21.0,95.0,74.0,21.0,21.0,116.0,0.6379310344827587,0.1810344827586207,441.0,46075.0,10.8
Wheat,1195.0,34.0,83.0,79.0,16.0,21.0,116.0,0.6810344827586207,0.13793103448275862,1156.0,99185.0,5.7
Soybean,977.0,33.0,98.0,86.0,29.0,19.0,134.0,0.6417910447761194,0.21641791044776118,1089.0,95746.0,5.9
Corn,1081.0,39.0,63.0,77.0,27.0,24.0,128.0,0.6015625,0.2109375,1521.0,68103.0,15.0
Sorghum,956.0,30.0,75.0,74.0,23.0,20.0,117.0,0.6324786324786325,0.19658119658119658,900.0,71700.0,8.3
Sorghum,973.0,22.0,94.0,78.0,24.0,14.0,116.0,0.6724137931034483,0.20689655172413793,484.0,91462.0,12.5
Soybean,1352.0,36.0,76.0,82.0,16.0,17.0,115.0,0.7130434782608696,0.1391304347826087,1296.0,102752.0,13.1
Rice,1045.0,31.0,58.0,83.0,17.0,19.0,119.0,0.6974789915966386,0.14285714285714285,961.0,60610.0,13.6
Rice,1195.0,34.0,75.0,71.0,25.0,21.0,117.0,0.6068376068376068,0.21367521367521367,1156.0,89625.0,15.0
Barley,427.0,35.0,96.0,72.0,27.0,17.0,116.0,0.6206896551724138,0.23275862068965517,1225.0,40992.0,7.4
Barley,1019.0,24.0,71.0,81.0,24.0,11.0,116.0,0.6982758620689655,0.20689655172413793,576.0,72349.0,5.4
Sorghum,955.0,39.0,96.0,70.0,28.0,16.0,114.0,0.6140350877192983,0.24561403508771928,1521.0,91680.0,9.1
Barley,739.0,25.0,79.0,64.0,16.0,17.0,97.0,0.6597938144329897,0.16494845360824742,625.0,58381.0,6.3
Wheat,1197.0,38.0,92.0,88.0,17.0,20.0,125.0,0.704,0.136,1444.0,110124.0,5.2
Barley,1357.0,24.0,97.0,60.0,20.0,15.0,95.0,0.631578947368421,0.21052631578947367,576.0,131629.0,8.6
Wheat,730.0,22.0,66.0,83.0,23.0,14.0,120.0,0.6916666666666667,0.19166666666666668,484.0,48180.0,12.8
Barley,1039.0,20.0,75.0,62.0,23.0,20.0,105.0,0.5904761904761905,0.21904761904761905,400.0,77925.0,10.7
Sorghum,905.0,25.0,85.0,81.0,21.0,18.0,120.0,0.675,0.175,625.0,76925.0,8.1
Sorghum,747.0,34.0,50.0,78.0,26.0,22.0,126.0,0.6190476190476191,0.20634920634920634,1156.0,37350.0,11.5
Wheat,872.0,21.0,57.0,82.0,17.0,12.0,111.0,0.7387387387387387,0.15315315315315314,441.0,49704.0,7.3
Soybean,630.0,22.0,98.0,88.0,18.0,21.0,127.0,0.6929133858267716,0.14173228346456693,484.0,61740.0,5.1
Sorghum,589.0,36.0,84.0,89.0,20.0,22.0,131.0,0.6793893129770993,0.15267175572519084,1296.0,49476.0,12.6
Soybean,624.0,31.0,64.0,66.0,25.0,22.0,113.0,0.584070796460177,0.22123893805309736,961.0,39936.0,11.2
Rice,784.0,37.0,96.0,71.0,19.0,19.0,109.0,0.6513761467889908,0.1743119266055046,1369.0,75264.0,12.6
Wheat,776.0,34.0,71.0,74.0,16.0,13.0,103.0,0.7184466019417476,0.1553398058252427,1156.0,55096.0,5.4
Sorghum,682.0,31.0,63.0,84.0,27.0,18.0,129.0,0.6511627906976745,0.20930232558139536,961.0,42966.0,13.4
Corn,1357.0,35.0,75.0,64.0,20.0,15.0,99.0,0.6464646464646465,0.20202020202020202,1225.0,101775.0,11.2
Rice,1032.0,27.0,77.0,74.0,17.0,17.0,108.0,0.6851851851851852,0.1574074074074074,729.0,79464.0,10.6
Soybean,1027.0,33.0,72.0,67.0,28.0,16.0,111.0,0.6036036036036037,0.25225225225225223,1089.0,73944.0,11.2
Sorghum,1372.0,36.0,63.0,69.0,22.0,20.0,111.0,0.6216216216216216,0.1981981981981982,1296.0,86436.0,13.6
Wheat,1144.0,27.0,73.0,85.0,16.0,11.0,112.0,0.7589285714285714,0.14285714285714285,729.0,83512.0,10.9
Barley,658.0,34.0,51.0,75.0,15.0,12.0,102.0,0.7352941176470589,0.14705882352941177,1156.0,33558.0,10.8
Corn,758.0,33.0,94.0,67.0,23.0,10.0,100.0,0.67,0.23,1089.0,71252.0,14.9
Soybean,1109.0,37.0,75.0,60.0,28.0,18.0,106.0,0.5660377358490566,0.2641509433962264,1369.0,83175.0,12.6
Rice,855.0,39.0,63.0,71.0,26.0,22.0,119.0,0.5966386554621849,0.2184873949579832,1521.0,53865.0,9.4
Wheat,810.0,26.0,56.0,64.0,17.0,16.0,97.0,0.6597938144329897,0.17525773195876287,676.0,45360.0,12.1
Corn,1048.0,22.0,52.0,62.0,25.0,10.0,97.0,0.6391752577319587,0.25773195876288657,484.0,54496.0,8.9
Wheat,717.0,31.0,96.0,60.0,15.0,12.0,87.0,0.6896551724137931,0.1724137931034483,961.0,68832.0,7.3
Sorghum,1076.0,22.0,72.0,63.0,21.0,13.0,97.0,0.6494845360824743,0.21649484536082475,484.0,77472.0,11.0
Barley,624.0,39.0,95.0,67.0,27.0,13.0,107.0,0.6261682242990654,0.2523364485981308,1521.0,59280.0,14.3
Rice,1218.0,33.0,92.0,62.0,29.0,14.0,105.0,0.5904761904761905,0.2761904761904762,1089.0,112056.0,14.3
Wheat,633.0,34.0,96.0,69.0,24.0,23.0,116.0,0.5948275862068966,0.20689655172413793,1156.0,60768.0,8.4
Soybean,1083.0,33.0,94.0,61.0,19.0,12.0,92.0,0.6630434782608695,0.20652173913043478,1089.0,101802.0,10.3
Sorghum,1063.0,26.0,67.0,70.0,19.0,12.0,101.0,0.693069306930693,0.18811881188118812,676.0,71221.0,7.1
Sorghum,1374.0,36.0,87.0,84.0,28.0,10.0,122.0,0.6885245901639344,0.22950819672131148,1296.0,119538.0,15.0
Rice,1226.0,31.0,84.0,69.0,15.0,16.0,100.0,0.69,0.15,961.0,102984.0,14.8
Sorghum,773.0,39.0,64.0,80.0,29.0,20.0,129.0,0.6201550387596899,0.2248062015503876,1521.0,49472.0,11.5
Soybean,1071.0,23.0,74.0,73.0,29.0,19.0,121.0,0.6033057851239669,0.2396694214876033,529.0,79254.0,13.0
Wheat,1007.0,28.0,86.0,66.0,23.0,23.0,112.0,0.5892857142857143,0.20535714285714285,784.0,86602.0,12.2
Rice,871.0,25.0,77.0,86.0,21.0,10.0,117.0,0.7350427350427351,0.1794871794871795,625.0,67067.0,10.9
Sorghum,632.0,35.0,59.0,86.0,22.0,11.0,119.0,0.7226890756302521,0.18487394957983194,1225.0,37288.0,5.5
Sorghum,1091.0,21.0,88.0,61.0,23.0,22.0,106.0,0.5754716981132075,0.2169811320754717,441.0,96008.0,9.5
Soybean,512.0,27.0,66.0,68.0,20.0,13.0,101.0,0.6732673267326733,0.19801980198019803,729.0,33792.0,11.7
Barley,1229.0,30.0,88.0,75.0,26.0,22.0,123.0,0.6097560975609756,0.21138211382113822,900.0,108152.0,11.8
Barley,896.0,32.0,71.0,72.0,19.0,13.0,104.0,0.6923076923076923,0.18269230769230768,1024.0,63616.0,8.7
Sorghum,841.0,36.0,75.0,68.0,20.0,14.0,102.0,0.6666666666666666,0.19607843137254902,1296.0,63075.0,14.4
Wheat,963.0,27.0,93.0,79.0,25.0,20.0,124.0,0.6370967741935484,0.20161290322580644,729.0,89559.0,6.7
Rice,667.0,37.0,74.0,63.0,16.0,11.0,90.0,0.7,0.17777777777777778,1369.0,49358.0,10.0
Sorghum,909.0,37.0,66.0,81.0,18.0,13.0,112.0,0.7232142857142857,0.16071428571428573,1369.0,59994.0,11.9
Corn,1206.0,33.0,62.0,69.0,17.0,10.0,96.0,0.71875,0.17708333333333334,1089.0,74772.0,12.0
Rice,785.0,34.0,69.0,85.0,27.0,11.0,123.0,0.6910569105691057,0.21951219512195122,1156.0,54165.0,11.5
Barley,786.0,25.0,74.0,85.0,21.0,10.0,116.0,0.7327586206896551,0.1810344827586207,625.0,58164.0,7.8
Sorghum,512.0,30.0,53.0,81.0,23.0,19.0,123.0,0.6585365853658537,0.18699186991869918,900.0,27136.0,6.6
Soybean,1012.0,32.0,59.0,71.0,19.0,19.0,109.0,0.6513761467889908,0.1743119266055046,1024.0,59708.0,11.4
Corn,1024.0,20.0,52.0,76.0,20.0,22.0,118.0,0.6440677966101694,0.1694915254237288,400.0,53248.0,11.0
Sorghum,1351.0,25.0,90.0,73.0,24.0,13.0,110.0,0.6636363636363637,0.21818181818181817,625.0,121590.0,6.8
Wheat,480.0,28.0,94.0,73.0,28.0,13.0,114.0,0.6403508771929824,0.24561403508771928,784.0,45120.0,12.1
Corn,1098.0,27.0,67.0,84.0,26.0,16.0,126.0,0.6666666666666666,0.20634920634920634,729.0,73566.0,9.6
Sorghum,512.0,30.0,96.0,61.0,26.0,19.0,106.0,0.5754716981132075,0.24528301886792453,900.0,49152.0,11.7
Wheat,401.0,38.0,85.0,80.0,16.0,20.0,116.0,0.6896551724137931,0.13793103448275862,1444.0,34085.0,13.4
Corn,1041.0,28.0,96.0,84.0,17.0,20.0,121.0,0.6942148760330579,0.14049586776859505,784.0,99936.0,6.7
Wheat,619.0,36.0,71.0,79.0,17.0,18.0,114.0,0.6929824561403509,0.14912280701754385,1296.0,43949.0,5.2
Wheat,965.0,31.0,83.0,70.0,26.0,18.0,114.0,0.6140350877192983,0.22807017543859648,961.0,80095.0,12.8
Corn,1254.0,33.0,96.0,75.0,26.0,14.0,115.0,0.6521739130434783,0.22608695652173913,1089.0,120384.0,11.1
Corn,1396.0,34.0,57.0,78.0,29.0,19.0,126.0,0.6190476190476191,0.23015873015873015,1156.0,79572.0,12.0
Wheat,1135.0,35.0,89.0,82.0,23.0,10.0,115.0,0.7130434782608696,0.2,1225.0,101015.0,13.4
Barley,624.0,39.0,98.0,65.0,29.0,10.0,104.0,0.625,0.27884615384615385,1521.0,61152.0,13.0
Corn,784.0,20.0,93.0,83.0,21.0,15.0,119.0,0.6974789915966386,0.17647058823529413,400.0,72912.0,14.6
Sorghum,802.0,29.0,68.0,78.0,22.0,11.0,111.0,0.7027027027027027,0.1981981981981982,841.0,54536.0,10.4
Rice,1037.0,27.0,91.0,64.0,25.0,17.0,106.0,0.6037735849056604,0.2358490566037736,729.0,94367.0,9.9
Soybean,529.0,37.0,90.0,85.0,24.0,22.0,131.0,0.648854961832061,0.183206106870229,1369.0,47610.0,9.0
Wheat,452.0,20.0,86.0,63.0,25.0,18.0,106.0,0.5943396226415094,0.2358490566037736,400.0,38872.0,6.5
Wheat,1083.0,21.0,55.0,74.0,23.0,22.0,119.0,0.6218487394957983,0.19327731092436976,441.0,59565.0,10.7
Soybean,1129.0,20.0,75.0,88.0,20.0,13.0,121.0,0.7272727272727273,0.1652892561983471,400.0,84675.0,7.8
Barley,1071.0,20.0,83.0,63.0,18.0,14.0,95.0,0.6631578947368421,0.18947368421052632,400.0,88893.0,14.2
Soybean,1109.0,28.0,94.0,79.0,26.0,20.0,125.0,0.632,0.208,784.0,104246.0,10.8
Corn,815.0,32.0,55.0,69.0,15.0,17.0,101.0,0.6831683168316832,0.1485148514851485,1024.0,44825.0,10.9
Soybean,646.0,20.0,86.0,83.0,22.0,12.0,117.0,0.7094017094017094,0.18803418803418803,400.0,55556.0,8.5
Wheat,1235.0,32.0,82.0,81.0,21.0,14.0,116.0,0.6982758620689655,0.1810344827586207,1024.0,101270.0,5.5
Soybean,838.0,39.0,71.0,62.0,16.0,12.0,90.0,0.6888888888888889,0.17777777777777778,1521.0,59498.0,5.3
Rice,602.0,26.0,70.0,85.0,22.0,21.0,128.0,0.6640625,0.171875,676.0,42140.0,9.2
Sorghum,583.0,21.0,55.0,64.0,26.0,19.0,109.0,0.5871559633027523,0.23853211009174313,441.0,32065.0,5.8
Corn,522.0,25.0,55.0,65.0,19.0,12.0,96.0,0.6770833333333334,0.19791666666666666,625.0,28710.0,11.1
Soybean,800.0,26.0,97.0,80.0,21.0,12.0,113.0,0.7079646017699115,0.18584070796460178,676.0,77600.0,13.8
Wheat,1166.0,33.0,53.0,81.0,18.0,22.0,121.0,0.6694214876033058,0.1487603305785124,1089.0,61798.0,13.8
Sorghum,693.0,37.0,79.0,67.0,19.0,21.0,107.0,0.6261682242990654,0.17757009345794392,1369.0,54747.0,11.6
Corn,679.0,34.0,60.0,66.0,22.0,16.0,104.0,0.6346153846153846,0.21153846153846154,1156.0,40740.0,7.1
Wheat,1236.0,21.0,79.0,80.0,15.0,24.0,119.0,0.6722689075630253,0.12605042016806722,441.0,97644.0,13.6
Barley,1283.0,29.0,80.0,69.0,15.0,16.0,100.0,0.69,0.15,841.0,102640.0,13.9
Rice,1009.0,31.0,73.0,65.0,29.0,16.0,110.0,0.5909090909090909,0.2636363636363636,961.0,73657.0,7.0
Barley,597.0,36.0,58.0,73.0,18.0,19.0,110.0,0.6636363636363637,0.16363636363636364,1296.0,34626.0,12.4
Rice,1381.0,27.0,52.0,63.0,17.0,17.0,97.0,0.6494845360824743,0.17525773195876287,729.0,71812.0,7.9
Soybean,1306.0,30.0,80.0,87.0,27.0,14.0,128.0,0.6796875,0.2109375,900.0,104480.0,13.0
Corn,910.0,22.0,89.0,84.0,24.0,14.0,122.0,0.6885245901639344,0.19672131147540983,484.0,80990.0,15.0
Soybean,1151.0,25.0,86.0,72.0,26.0,23.0,121.0,0.5950413223140496,0.21487603305785125,625.0,98986.0,5.3
Rice,543.0,28.0,85.0,79.0,16.0,13.0,108.0,0.7314814814814815,0.14814814814814814,784.0,46155.0,14.0
Rice,1008.0,25.0,73.0,76.0,26.0,16.0,118.0,0.6440677966101694,0.22033898305084745,625.0,73584.0,11.2
Rice,600.0,28.0,80.0,82.0,17.0,19.0,118.0,0.6949152542372882,0.1440677966101695,784.0,48000.0,14.7
Sorghum,523.0,26.0,55.0,66.0,25.0,13.0,104.0,0.6346153846153846,0.2403846153846154,676.0,28765.0,9.7
Wheat,586.0,28.0,51.0,63.0,29.0,24.0,116.0,0.5431034482758621,0.25,784.0,29886.0,13.5
Corn,725.0,37.0,69.0,88.0,29.0,11.0,128.0,0.6875,0.2265625,1369.0,50025.0,5.6
Soybean,863.0,31.0,77.0,73.0,25.0,13.0,111.0,0.6576576576576577,0.22522522522522523,961.0,66451.0,8.4
Soybean,748.0,27.0,60.0,62.0,28.0,22.0,112.0,0.5535714285714286,0.25,729.0,44880.0,5.7
Barley,1170.0,27.0,53.0,83.0,25.0,22.0,130.0,0.6384615384615384,0.19230769230769232,729.0,62010.0,14.8
Rice,1059.0,37.0,64.0,64.0,15.0,17.0,96.0,0.6666666666666666,0.15625,1369.0,67776.0,13.2
Rice,1163.0,39.0,55.0,75.0,15.0,18.0,108.0,0.6944444444444444,0.1388888888888889,1521.0,63965.0,13.5
Rice,1354.0,34.0,98.0,85.0,20.0,12.0,117.0,0.7264957264957265,0.17094017094017094,1156.0,132692.0,14.4
Soybean,1331.0,26.0,79.0,82.0,19.0,16.0,117.0,0.7008547008547008,0.1623931623931624,676.0,105149.0,5.9
Barley,802.0,30.0,87.0,79.0,22.0,23.0,124.0,0.6370967741935484,0.1774193548387097,900.0,69774.0,8.9
Wheat,745.0,39.0,51.0,63.0,16.0,21.0,100.0,0.63,0.16,1521.0,37995.0,5.7
Sorghum,1362.0,35.0,64.0,83.0,18.0,23.0,124.0,0.6693548387096774,0.14516129032258066,1225.0,87168.0,7.1
Corn,910.0,23.0,60.0,89.0,22.0,18.0,129.0,0.689922480620155,0.17054263565891473,529.0,54600.0,7.3
Wheat,546.0,25.0,57.0,83.0,26.0,20.0,129.0,0.6434108527131783,0.20155038759689922,625.0,31122.0,9.7
Soybean,547.0,22.0,75.0,61.0,20.0,13.0,94.0,0.648936170212766,0.2127659574468085,484.0,41025.0,7.7
