rainfall,fertilizer,temperature,nitrogen,phosphorus,potassium,yield,crop_type
524,67,34,80,28,12,5.1,Rice
549,76,38,64,23,11,7.1,Soybean
713,83,20,61,28,16,11.6,Rice
969,76,36,81,29,12,9.1,Soybean
741,66,36,75,17,12,9.0,Barley
704,92,22,84,17,11,13.8,Sorghum
1091,93,31,61,16,13,14.0,Wheat
1081,73,25,69,22,17,14.1,Barley
1237,74,30,61,24,21,8.1,Corn
1182,56,22,75,15,10,11.9,Rice
453,55,27,75,22,10,7.7,Corn
843,73,33,78,21,21,6.9,Rice
1012,82,33,88,28,23,6.8,Sorghum
1392,98,29,66,21,14,8.4,Barley
663,78,21,81,17,20,9.3,Sorghum
452,92,33,71,15,14,13.3,Soybean
971,71,28,83,18,20,6.2,Sorghum
1019,75,22,74,23,21,12.3,Sorghum
404,77,27,67,19,10,10.3,Soybean
502,99,35,65,15,15,7.9,Rice
595,70,21,87,29,10,9.9,Soybean
1173,98,25,86,19,14,8.0,Barley
1276,56,31,69,27,18,11.0,Sorghum
1391,66,24,62,22,21,9.3,Soybean
1283,69,21,78,22,23,6.6,Sorghum
749,90,35,76,19,14,6.2,Barley
446,98,24,66,26,15,10.5,Corn
1266,69,34,80,23,17,14.0,Barley
1222,71,31,79,29,20,8.4,Wheat
1335,77,23,85,15,10,12.3,Wheat
1219,89,34,63,18,23,11.6,Wheat
1055,98,30,73,17,11,14.3,Sorghum
668,56,35,79,16,18,13.2,Rice
769,50,25,81,29,12,10.7,Rice
1035,81,33,74,22,15,11.6,Rice
505,62,37,83,21,14,14.0,Sorghum
1069,79,31,67,23,20,9.0,Barley
1058,72,30,80,16,11,8.3,Rice
1056,68,32,74,28,23,5.1,Corn
519,81,30,81,28,24,13.3,Wheat
1230,79,35,79,18,16,13.0,Barley
1186,78,34,87,28,13,6.0,Wheat
1003,98,34,73,29,10,10.8,Rice
457,94,23,86,20,22,9.6,Barley
1350,78,30,88,25,13,6.2,Soybean
745,79,38,68,17,15,14.8,Corn
1140,65,34,67,22,16,7.1,Rice
873,89,23,85,17,24,5.7,Rice
516,68,32,87,28,16,10.9,Corn
1229,67,38,85,26,23,12.4,Corn
1190,50,21,76,27,16,5.3,Soybean
526,63,33,61,27,12,11.6,Rice
792,96,23,84,16,15,10.3,Sorghum
1307,99,35,83,27,22,6.0,Rice
1040,51,39,89,27,17,6.7,Wheat
457,77,33,62,17,13,10.7,Barley
1033,98,34,67,25,22,8.0,Barley
912,99,22,71,20,17,14.4,Wheat
1150,79,27,60,16,11,13.2,Barley
1201,87,35,69,22,24,14.8,Corn
495,53,29,79,15,19,7.6,Barley
1037,50,23,62,21,18,14.7,Barley
517,57,37,65,16,18,9.3,Wheat
959,78,21,66,24,17,8.5,Soybean
1000,88,36,79,26,19,5.5,Barley
887,52,32,82,20,23,5.5,Sorghum
636,81,23,84,26,22,11.9,Barley
1284,59,30,86,16,19,9.6,Soybean
1296,59,26,77,16,10,7.3,Wheat
671,68,31,70,24,11,11.1,Soybean
588,95,29,78,27,15,7.5,Wheat
1398,83,26,64,22,19,10.8,Corn
1103,82,32,78,29,14,8.6,Wheat
846,72,26,70,29,21,13.2,Corn
980,77,36,83,26,23,13.2,Corn
1189,81,29,71,16,18,9.8,Wheat
1260,99,29,69,21,14,8.5,Sorghum
646,56,23,67,17,11,8.6,Rice
1362,78,39,83,22,19,13.1,Wheat
475,57,23,87,21,13,8.3,Barley
553,50,26,87,28,18,7.1,Sorghum
1055,52,20,68,22,10,5.8,Sorghum
834,73,31,63,28,20,9.7,Barley
1396,72,32,64,21,10,9.8,Rice
485,57,29,80,25,21,13.4,Sorghum
1096,96,34,67,20,16,7.2,Corn
684,86,32,82,27,20,8.8,Rice
1373,52,28,68,21,12,13.1,Barley
619,82,28,74,19,19,13.2,Rice
468,77,34,74,21,11,8.8,Wheat
446,96,29,75,15,18,9.6,Rice
493,57,29,73,15,12,8.0,Corn
1149,83,27,67,23,11,14.3,Wheat
1357,84,35,77,28,21,6.2,Soybean
852,81,36,69,19,17,14.3,Barley
603,73,24,87,27,19,11.8,Barley
1311,63,23,79,19,15,10.3,Rice
617,81,37,65,17,15,5.3,Sorghum
873,95,38,71,19,19,9.8,Wheat
831,92,23,61,17,20,9.1,Soybean
740,65,26,66,23,16,6.6,Wheat
950,53,29,75,23,16,11.6,Barley
1011,86,37,62,20,20,14.7,Wheat
688,70,38,72,29,22,10.6,Soybean
653,63,23,62,15,24,12.1,Sorghum
1133,80,29,86,21,15,5.7,Rice
756,97,20,77,21,13,9.2,Corn
422,67,37,70,28,20,6.2,Wheat
1161,56,24,67,24,18,11.1,Corn
921,59,34,65,24,15,14.4,Barley
1157,56,36,60,18,13,11.6,Rice
1236,82,22,87,22,21,5.8,Rice
499,72,31,60,20,12,8.5,Wheat
1201,70,21,82,18,13,10.5,Sorghum
579,68,20,67,18,12,9.0,Rice
622,97,36,64,16,24,13.3,Wheat
1305,68,35,87,28,11,13.1,Wheat
1161,85,24,75,16,23,11.1,Corn
1058,78,34,70,26,14,8.7,Rice
841,67,22,64,28,11,7.6,Wheat
1007,51,26,63,18,15,6.1,Corn
1168,50,30,89,19,12,8.5,Soybean
724,96,29,65,22,15,9.1,Corn
915,54,28,73,29,24,11.8,Corn
415,69,33,81,20,20,11.6,Wheat
1191,60,32,78,28,19,5.7,Barley
735,91,21,68,29,18,9.0,Barley
1158,51,22,71,18,10,6.8,Sorghum
657,52,26,70,27,15,6.6,Barley
896,72,37,73,25,18,13.3,Corn
1387,61,22,82,21,20,5.4,Sorghum
1295,69,29,75,22,13,9.2,Wheat
559,54,26,60,16,20,6.7,Rice
874,86,28,72,26,21,13.8,Corn
1251,87,36,82,21,11,10.6,Corn
1063,79,30,80,29,22,7.3,Sorghum
1307,58,26,80,28,13,10.0,Wheat
1089,83,33,89,16,10,12.3,Soybean
1074,93,38,72,16,12,14.6,Corn
779,84,23,61,22,19,7.2,Soybean
944,71,25,63,16,18,13.9,Soybean
1328,93,29,87,29,19,14.3,Barley
1356,73,26,65,25,14,14.2,Wheat
1090,66,32,85,23,24,11.4,Soybean
826,59,33,86,26,20,11.3,Wheat
1012,79,23,82,15,15,9.0,Barley
667,95,27,86,29,12,12.5,Wheat
1234,72,24,64,23,14,10.3,Corn
976,81,20,84,29,20,11.8,Soybean
816,66,23,62,15,17,9.3,Wheat
567,99,22,60,24,15,12.3,Rice
1241,66,28,63,27,13,13.2,Wheat
442,63,27,84,24,11,6.5,Soybean
955,58,20,79,16,23,13.3,Barley
684,89,25,61,20,18,10.4,Barley
796,51,28,85,20,22,13.4,Soybean
411,94,26,89,15,21,9.3,Corn
1006,74,23,89,21,10,8.8,Corn
701,88,32,64,22,10,14.2,Barley
1297,58,36,62,16,22,7.5,Barley
652,71,21,88,22,13,13.4,Soybean
898,92,24,87,23,16,9.8,Corn
1153,95,31,88,20,10,10.1,Barley
434,53,27,68,19,18,8.1,Corn
1126,75,25,79,26,13,10.7,Barley
1248,78,27,65,23,12,8.3,Wheat
489,94,37,77,27,10,5.4,Rice
1175,83,22,65,26,19,7.7,Sorghum
1004,72,31,78,25,13,5.1,Wheat
1321,86,22,87,23,18,14.8,Sorghum
1369,60,25,71,15,22,14.7,Barley
1001,55,21,84,25,23,9.0,Rice
817,67,31,70,17,19,12.3,Rice
514,70,21,61,23,15,8.5,Barley
1016,91,25,74,25,15,11.7,Barley
1302,85,36,71,16,10,13.1,Corn
595,90,22,71,26,19,14.5,Barley
1225,87,21,68,18,11,9.0,Soybean
900,83,39,80,18,20,12.8,Barley
1025,66,27,83,16,15,7.7,Soybean
892,86,31,61,29,11,14.9,Barley
474,74,23,81,17,12,5.3,Corn
812,87,24,62,27,13,11.0,Soybean
775,61,32,71,17,20,11.6,Wheat
819,72,34,87,15,14,11.9,Soybean
1128,91,35,89,20,24,6.2,Corn
676,71,29,85,22,18,14.4,Sorghum
1160,70,35,75,26,21,6.8,Soybean
1075,76,31,80,17,24,11.2,Barley
793,80,36,87,19,24,7.2,Barley
1268,55,35,83,15,13,8.1,Sorghum
856,76,31,85,24,22,10.5,Corn
1319,89,27,89,21,20,9.2,Rice
591,83,39,60,24,18,6.6,Barley
1138,61,22,80,27,20,6.7,Wheat
1088,94,35,62,15,19,9.2,Corn
498,56,32,79,26,12,12.6,Soybean
947,59,38,61,25,17,14.0,Soybean
1377,94,27,68,23,21,5.8,Wheat
1398,66,24,78,22,10,8.9,Barley
495,75,39,74,21,20,6.0,Corn
1063,70,27,77,24,18,5.2,Wheat
1062,77,31,85,29,18,11.6,Barley
589,95,20,70,21,19,11.0,Corn
1135,51,39,84,19,11,6.6,Soybean
436,92,25,82,19,13,7.3,Corn
1179,50,37,75,25,22,5.2,Sorghum
768,85,27,81,27,17,13.3,Rice
1094,75,26,76,19,16,14.7,Corn
924,78,20,64,15,10,6.4,Rice
678,70,35,71,22,14,7.3,Corn
616,60,31,70,26,16,13.7,Rice
1266,89,25,89,25,24,14.3,Sorghum
1272,60,39,74,15,13,9.2,Soybean
1197,85,21,86,18,24,5.5,Barley
672,98,33,62,29,24,5.4,Rice
1280,88,23,60,23,10,10.7,Sorghum
461,89,20,79,28,18,8.9,Rice
995,84,37,88,23,23,5.3,Soybean
1279,83,32,75,19,14,10.8,Rice
1128,96,21,61,18,20,5.1,Sorghum
741,73,28,61,17,11,12.9,Sorghum
796,71,21,62,17,17,8.1,Wheat
1098,54,28,67,26,20,5.4,Soybean
418,82,20,83,19,22,10.9,Wheat
576,85,30,87,24,11,9.0,Soybean
1011,96,22,74,15,12,14.7,Rice
795,69,39,66,19,23,10.4,Sorghum
844,68,23,65,20,19,7.8,Wheat
632,84,37,68,21,10,12.1,Rice
1314,92,25,79,26,20,7.7,Sorghum
475,66,22,87,23,11,14.0,Soybean
664,94,30,60,17,23,8.7,Sorghum
854,92,34,67,29,16,10.5,Rice
1195,83,24,82,16,19,5.5,Wheat
1117,58,39,82,28,11,9.3,Wheat
1134,75,29,62,17,15,13.3,Sorghum
783,51,31,63,26,24,13.1,Rice
963,58,34,85,23,12,7.2,Corn
1250,58,36,84,26,13,7.3,Soybean
905,89,29,74,21,20,13.2,Soybean
766,66,25,65,23,24,14.3,Rice
543,50,37,74,27,22,6.0,Corn
1284,74,32,80,16,17,9.5,Wheat
468,92,22,62,19,23,8.4,Barley
498,89,29,84,27,12,13.7,Barley
795,91,33,80,18,19,5.8,Rice
424,74,25,80,29,15,7.1,Corn
1347,88,22,73,16,10,12.5,Corn
1290,84,35,79,23,16,5.5,Soybean
868,52,26,73,23,17,9.9,Wheat
883,99,39,63,20,20,9.4,Sorghum
964,86,33,71,25,23,8.3,Corn
550,93,28,76,20,17,8.9,Sorghum
543,93,34,66,22,12,10.3,Barley
968,79,22,68,20,23,6.6,Sorghum
438,87,21,62,15,19,10.7,Wheat
508,83,21,87,18,10,13.1,Wheat
1092,61,22,72,27,18,12.6,Sorghum
441,68,37,74,21,22,6.5,Rice
585,86,33,77,27,15,6.5,Corn
1334,93,39,78,27,20,7.7,Rice
797,98,37,60,16,18,8.6,Sorghum
622,66,29,65,23,16,9.1,Corn
1033,59,21,86,22,10,11.8,Soybean
532,98,20,86,22,21,5.6,Rice
562,96,23,82,21,21,5.3,Rice
614,61,33,86,18,10,8.9,Sorghum
1132,65,20,86,16,15,12.0,Barley
634,73,33,61,17,14,6.9,Sorghum
1242,68,35,83,26,18,11.4,Rice
1057,57,33,73,20,11,7.6,Corn
1150,80,39,65,26,17,13.9,Barley
987,70,22,73,26,20,14.0,Sorghum
408,66,22,63,19,14,8.0,Sorghum
473,72,28,80,26,11,7.3,Rice
1353,86,25,67,22,22,9.1,Rice
891,65,32,89,20,19,7.4,Soybean
1312,55,21,62,20,20,11.7,Sorghum
652,57,27,78,15,20,13.3,Rice
629,74,21,89,18,21,11.7,Wheat
918,67,23,73,19,15,13.2,Barley
573,74,34,86,26,19,9.0,Wheat
1052,61,23,79,25,17,6.6,Barley
567,64,32,76,17,13,12.4,Sorghum
569,75,31,84,27,11,8.6,Soybean
792,90,32,67,23,21,11.7,Rice
1345,94,33,83,15,20,7.7,Rice
1194,75,39,73,20,14,5.8,Rice
1033,96,37,85,20,24,14.9,Sorghum
593,81,25,65,24,21,6.6,Barley
916,59,30,82,19,11,14.9,Rice
428,65,21,81,26,11,14.8,Wheat
564,56,38,75,29,24,12.9,Rice
821,66,38,84,19,15,11.6,Sorghum
738,72,24,78,24,20,10.8,Soybean
1047,75,38,73,28,19,13.7,Wheat
895,70,21,78,27,18,7.9,Rice
764,71,29,62,19,22,9.7,Rice
1232,56,21,69,20,13,11.2,Corn
741,63,30,78,22,15,9.1,Barley
899,64,37,68,16,16,9.3,Wheat
1056,56,34,87,20,22,8.3,Corn
910,58,28,79,15,20,10.6,Soybean
726,97,38,72,18,15,13.5,Barley
616,57,28,66,28,17,7.0,Wheat
700,99,22,73,24,13,14.3,Rice
531,72,28,68,17,21,11.9,Wheat
1203,78,33,86,23,24,13.2,Rice
469,67,38,87,17,10,10.6,Barley
651,80,26,82,29,16,12.8,Rice
814,79,35,84,20,12,5.2,Soybean
1186,88,35,87,15,23,13.2,Sorghum
844,84,20,78,26,15,5.4,Rice
1275,67,23,74,20,11,13.9,Soybean
581,91,23,79,18,18,14.9,Sorghum
566,88,26,73,22,10,7.9,Barley
490,66,27,83,27,15,7.1,Barley
1113,63,36,65,25,15,12.7,Wheat
1257,80,24,80,23,14,7.5,Soybean
930,73,26,88,18,22,13.7,Soybean
438,84,39,63,24,14,6.0,Corn
525,93,39,67,26,10,6.3,Corn
850,94,23,76,24,19,14.8,Sorghum
572,83,25,89,20,21,11.7,Sorghum
1052,52,26,68,15,14,13.5,Corn
1153,86,37,60,18,11,8.2,Sorghum
619,92,24,83,21,16,11.8,Rice
1037,89,39,79,26,12,10.9,Corn
457,75,22,84,29,22,11.0,Soybean
1059,72,26,73,15,24,11.8,Rice
875,93,33,70,22,13,10.8,Sorghum
855,88,26,80,26,12,9.3,Barley
1228,64,24,62,24,12,7.8,Wheat
1294,98,24,68,26,13,12.7,Corn
760,53,21,86,25,14,7.3,Barley
1334,78,25,73,20,10,11.9,Sorghum
400,71,34,89,19,13,7.3,Soybean
786,74,29,68,24,21,11.3,Wheat
1372,62,26,63,25,21,12.5,Barley
747,67,24,86,29,20,7.2,Wheat
